"No,";Time;Source;Destination;Protocol;Length;Info;;;;;;time 1;time 2;;delay;;delay 1;delay 2;Jitter
110;1.516.234;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,516234";;"1,516234";"1,516258";;"2,4E-05";;6E-06;"1,8E-05";"1,2E-05"
111;1.516.258;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,516258";;"1,516258";"1,516276";;"1,8E-05";;-1E-05;"2,8E-05";"3,8E-05"
112;1.516.276;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,516276";;"1,516276";"1,516304";;"2,8E-05";;6E-06;"2,2E-05";"1,6E-05"
113;1.516.304;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,516304";;"1,516304";"1,516326";;"2,2E-05";;8E-06;"1,4E-05";6E-06
114;1.516.326;"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;"1,516326";;"1,516326";"1,51634";;"1,4E-05";;"-1,7E-05";"3,1E-05";"4,8E-05"
115;1.516.340;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,51634";;"1,51634";"1,516371";;"3,1E-05";;"1,4E-05";"1,7E-05";3E-06
116;1.516.371;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,516371";;"1,516371";"1,516388";;"1,7E-05";;-1E-06;"1,8E-05";"1,9E-05"
117;1.516.388;"172,31,18,98";"103,107,186,26";"TLSv1,2";681;Application Data;;;;"1,516388";;"1,516388";"1,516406";;"1,8E-05";;"-2,22045E-16";"1,8E-05";"1,8E-05"
118;1.516.406;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,516406";;"1,516406";"1,516424";;"1,8E-05";;-6E-06;"2,4E-05";3E-05
119;1.516.424;"172,31,18,98";"103,107,186,26";"TLSv1,2";1605;Application Data;;;;"1,516424";;"1,516424";"1,516448";;"2,4E-05";;"-0,24008";"0,240104";"0,480184"
120;1.516.448;"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;"1,516448";;"1,516448";"1,756552";;"0,240104";;"0,240104";0;"-0,240104"
121;1.756.552;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=44018 Win=14207 Len=0;;;;"1,756552";;"1,756552";"1,756552";;0;;"-5,8E-05";"5,8E-05";"0,000116"
122;1.756.552;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=45670 Win=14230 Len=0;;;;"1,756552";;"1,756552";"1,75661";;"5,8E-05";;"3,2E-05";"2,6E-05";-6E-06
123;1.756.610;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=47322 Win=14253 Len=0;;;;"1,75661";;"1,75661";"1,756636";;"2,6E-05";;-4E-06;3E-05;"3,4E-05"
124;1.756.636;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=48974 Win=14275 Len=0;;;;"1,756636";;"1,756636";"1,756666";;3E-05;;3E-06;"2,7E-05";"2,4E-05"
125;1.756.666;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=50626 Win=14298 Len=0;;;;"1,756666";;"1,756666";"1,756693";;"2,7E-05";;-4E-06;"3,1E-05";"3,5E-05"
126;1.756.693;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=52139 Win=14321 Len=0;;;;"1,756693";;"1,756693";"1,756724";;"3,1E-05";;7E-06;"2,4E-05";"1,7E-05"
127;1.756.724;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=53791 Win=14344 Len=0;;;;"1,756724";;"1,756724";"1,756748";;"2,4E-05";;"-1,6E-05";4E-05;"5,6E-05"
128;1.756.748;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=56070 Win=14367 Len=0;;;;"1,756748";;"1,756748";"1,756788";;4E-05;;"-9,8E-05";"0,000138";"0,000236"
129;1.756.788;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=57722 Win=14390 Len=0;;;;"1,756788";;"1,756788";"1,756926";;"0,000138";;"-0,129232";"0,12937";"0,258602"
130;1.756.926;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=2773 Ack=57866 Win=14390 Len=0;;;;"1,756926";;"1,756926";"1,886296";;"0,12937";;"0,129326";"4,4E-05";"-0,129282"
131;1.886.296;"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;"1,886296";;"1,886296";"1,88634";;"4,4E-05";;"2,5E-05";"1,9E-05";-6E-06
132;1.886.340;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,88634";;"1,88634";"1,886359";;"1,9E-05";;"-1,8E-05";"3,7E-05";"5,5E-05"
133;1.886.359;"172,31,18,98";"103,107,186,26";"TLSv1,2";213;Application Data;;;;"1,886359";;"1,886359";"1,886396";;"3,7E-05";;"-0,003179";"0,003216";"0,006395"
134;1.886.396;"172,31,18,98";"103,107,186,26";"TLSv1,2";105;Application Data;;;;"1,886396";;"1,886396";"1,889612";;"0,003216";;"-0,040101";"0,043317";"0,083418"
135;1.889.612;"103,107,186,26";"172,31,18,98";"TLSv1,2";107;Application Data;;;;"1,889612";;"1,889612";"1,932929";;"0,043317";;"0,043259";"5,8E-05";"-0,043201"
136;1.932.929;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"1,932929";;"1,932929";"1,932987";;"5,8E-05";;"-0,026729";"0,026787";"0,053516"
137;1.932.987;"172,31,18,98";"103,107,186,26";"TLSv1,2";1219;Application Data;;;;"1,932987";;"1,932987";"1,959774";;"0,026787";;"-0,021384";"0,048171";"0,069555"
138;1.959.774;"103,107,186,26";"172,31,18,98";"TLSv1,2";107;Application Data;;;;"1,959774";;"1,959774";"2,007945";;"0,048171";;"0,039262";"0,008909";"-0,030353"
139;2.007.945;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=62598 Ack=2879 Win=63614 Len=0;;;;"2,007945";;"2,007945";"2,016854";;"0,008909";;"-0,044663";"0,053572";"0,098235"
140;2.016.854;"103,107,186,26";"172,31,18,98";"TLSv1,2";261;"Application Data, Application Data, Application Data";;;;"2,016854";;"2,016854";"2,070426";;"0,053572";;"-0,00278";"0,056352";"0,059132"
141;2.070.426;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=62598 Ack=3086 Win=63407 Len=0;;;;"2,070426";;"2,070426";"2,126778";;"0,056352";;"0,056352";0;"-0,056352"
142;2.126.778;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=3086 Ack=59379 Win=14412 Len=0;;;;"2,126778";;"2,126778";"2,126778";;0;;"-0,046561";"0,046561";"0,093122"
143;2.126.778;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=3086 Ack=59781 Win=14412 Len=0;;;;"2,126778";;"2,126778";"2,173339";;"0,046561";;"0,020214";"0,026347";"0,006133"
144;2.173.339;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=3086 Ack=61433 Win=14435 Len=0;;;;"2,173339";;"2,173339";"2,199686";;"0,026347";;"-0,016287";"0,042634";"0,058921"
145;2.199.686;"103,107,186,26";"172,31,18,98";"TLSv1,2";107;Application Data;;;;"2,199686";;"2,199686";"2,24232";;"0,042634";;"0,037264";"0,00537";"-0,031894"
146;2.242.320;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=62598 Ack=3139 Win=63354 Len=0;;;;"2,24232";;"2,24232";"2,24769";;"0,00537";;"-0,035549";"0,040919";"0,076468"
147;2.247.690;"103,107,186,26";"172,31,18,98";"TLSv1,2";200;"Application Data, Application Data";;;;"2,24769";;"2,24769";"2,288609";;"0,040919";;"0,040895";"2,4E-05";"-0,040871"
148;2.288.609;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"2,288609";;"2,288609";"2,288633";;"2,4E-05";;"-0,039156";"0,03918";"0,078336"
149;2.288.633;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=62598 Ack=3358 Win=63135 Len=0;;;;"2,288633";;"2,288633";"2,327813";;"0,03918";;"-0,015932";"0,055112";"0,071044"
150;2.327.813;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"2,327813";;"2,327813";"2,382925";;"0,055112";;"-0,262348";"0,31746";"0,579808"
151;2.382.925;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=62598 Ack=3431 Win=63062 Len=0;;;;"2,382925";;"2,382925";"2,700385";;"0,31746";;"0,317417";"4,3E-05";"-0,317374"
152;2.700.385;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"2,700385";;"2,700385";"2,700428";;"4,3E-05";;"-0,240772";"0,240815";"0,481587"
153;2.700.428;"172,31,18,98";"103,107,186,26";"TLSv1,2";822;Application Data;;;;"2,700428";;"2,700428";"2,941243";;"0,240815";;"0,203782";"0,037033";"-0,166749"
154;2.941.243;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=3431 Ack=64250 Win=14481 Len=0;;;;"2,941243";;"2,941243";"2,978276";;"0,037033";;"-0,074128";"0,111161";"0,185289"
155;2.978.276;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=3431 Ack=65018 Win=14481 Len=0;;;;"2,978276";;"2,978276";"3,089437";;"0,111161";;"0,111122";"3,9E-05";"-0,111083"
156;3.089.437;"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;"3,089437";;"3,089437";"3,089476";;"3,9E-05";;1E-05;"2,9E-05";"1,9E-05"
157;3.089.476;"172,31,18,98";"103,107,186,26";"TLSv1,2";865;Application Data;;;;"3,089476";;"3,089476";"3,089505";;"2,9E-05";;"-0,039075";"0,039104";"0,078179"
158;3.089.505;"172,31,18,98";"103,107,186,26";"TLSv1,2";105;Application Data;;;;"3,089505";;"3,089505";"3,128609";;"0,039104";;"0,031139";"0,007965";"-0,023174"
159;3.128.609;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"3,128609";;"3,128609";"3,136574";;"0,007965";;"-0,014995";"0,02296";"0,037955"
160;3.136.574;"172,31,18,98";"103,107,186,26";"TLSv1,2";1599;Application Data;;;;"3,136574";;"3,136574";"3,159534";;"0,02296";;"-0,028549";"0,051509";"0,080058"
161;3.159.534;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"3,159534";;"3,159534";"3,211043";;"0,051509";;"-0,067187";"0,118696";"0,185883"
162;3.211.043;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=67478 Ack=3577 Win=62916 Len=0;;;;"3,211043";;"3,211043";"3,329739";;"0,118696";;"0,118696";0;"-0,118696"
163;3.329.739;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=3577 Ack=65071 Win=14481 Len=0;;;;"3,329739";;"3,329739";"3,329739";;0;;"-5,1E-05";"5,1E-05";"0,000102"
164;3.329.739;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=3577 Ack=65882 Win=14481 Len=0;;;;"3,329739";;"3,329739";"3,32979";;"5,1E-05";;"-0,04716";"0,047211";"0,094371"
165;3.329.790;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=3577 Ack=65933 Win=14481 Len=0;;;;"3,32979";;"3,32979";"3,377001";;"0,047211";;"0,047211";0;"-0,047211"
166;3.377.001;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=3577 Ack=67393 Win=14504 Len=0;;;;"3,377001";;"3,377001";"3,377001";;0;;"-0,038452";"0,038452";"0,076904"
167;3.377.001;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=3577 Ack=67478 Win=14504 Len=0;;;;"3,377001";;"3,377001";"3,415453";;"0,038452";;"-0,007154";"0,045606";"0,05276"
168;3.415.453;"103,107,186,26";"172,31,18,98";"TLSv1,2";107;Application Data;;;;"3,415453";;"3,415453";"3,461059";;"0,045606";;"0,026144";"0,019462";"-0,006682"
169;3.461.059;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=67478 Ack=3630 Win=62863 Len=0;;;;"3,461059";;"3,461059";"3,480521";;"0,019462";;"-0,019684";"0,039146";"0,05883"
170;3.480.521;"103,107,186,26";"172,31,18,98";"TLSv1,2";273;"Application Data, Application Data, Application Data";;;;"3,480521";;"3,480521";"3,519667";;"0,039146";;"0,039117";"2,9E-05";"-0,039088"
171;3.519.667;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"3,519667";;"3,519667";"3,519696";;"2,9E-05";;"-0,19457";"0,194599";"0,389169"
172;3.519.696;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=67478 Ack=3922 Win=62571 Len=0;;;;"3,519696";;"3,519696";"3,714295";;"0,194599";;"0,1164";"0,078199";"-0,038201"
173;3.714.295;"172,31,18,98";"103,107,186,26";"TLSv1,2";880;Application Data;;;;"3,714295";;"3,714295";"3,792494";;"0,078199";;"0,078154";"4,5E-05";"-0,078109"
174;3.792.494;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"3,792494";;"3,792494";"3,792539";;"4,5E-05";;"-0,162102";"0,162147";"0,324249"
175;3.792.539;"172,31,18,98";"103,107,186,26";"TLSv1,2";459;Application Data;;;;"3,792539";;"3,792539";"3,954686";;"0,162147";;"0,083956";"0,078191";"-0,005765"
176;3.954.686;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=3922 Ack=68304 Win=14504 Len=0;;;;"3,954686";;"3,954686";"4,032877";;"0,078191";;"0,078191";0;"-0,078191"
177;4.032.877;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=3922 Ack=69764 Win=14526 Len=0;;;;"4,032877";;"4,032877";"4,032877";;0;;"-4,9E-05";"4,9E-05";"9,8E-05"
178;4.032.877;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=3922 Ack=69956 Win=14526 Len=0;;;;"4,032877";;"4,032877";"4,032926";;"4,9E-05";;"-0,055565";"0,055614";"0,111179"
179;4.032.926;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=3922 Ack=70361 Win=14526 Len=0;;;;"4,032926";;"4,032926";"4,08854";;"0,055614";;"0,015551";"0,040063";"0,024512"
180;4.088.540;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"4,08854";;"4,08854";"4,128603";;"0,040063";;"0,040017";"4,6E-05";"-0,039971"
181;4.128.603;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"4,128603";;"4,128603";"4,128649";;"4,6E-05";;"-0,039667";"0,039713";"0,07938"
182;4.128.649;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=70361 Ack=4068 Win=64000 Len=0;;;;"4,128649";;"4,128649";"4,168362";;"0,039713";;"-0,002981";"0,042694";"0,045675"
183;4.168.362;"103,107,186,26";"172,31,18,98";"TLSv1,2";200;"Application Data, Application Data";;;;"4,168362";;"4,168362";"4,211056";;"0,042694";;"-0,05436";"0,097054";"0,151414"
184;4.211.056;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=70361 Ack=4214 Win=63854 Len=0;;;;"4,211056";;"4,211056";"4,30811";;"0,097054";;"0,096987";"6,7E-05";"-0,09692"
185;4.308.110;"172,31,18,98";"103,107,186,26";"TLSv1,2";738;Application Data;;;;"4,30811";;"4,30811";"4,308177";;"6,7E-05";;"-0,046962";"0,047029";"0,093991"
186;4.308.177;"172,31,18,98";"103,107,186,26";"TLSv1,2";105;Application Data;;;;"4,308177";;"4,308177";"4,355206";;"0,047029";;"0,046989";4E-05;"-0,046949"
187;4.355.206;"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;"4,355206";;"4,355206";"4,355246";;4E-05;;-7E-06;"4,7E-05";"5,4E-05"
188;4.355.246;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"4,355246";;"4,355246";"4,355293";;"4,7E-05";;"-0,193156";"0,193203";"0,386359"
189;4.355.293;"172,31,18,98";"103,107,186,26";"TLSv1,2";615;Application Data;;;;"4,355293";;"4,355293";"4,548496";;"0,193203";;"0,193203";0;"-0,193203"
190;4.548.496;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=4214 Ack=71045 Win=14526 Len=0;;;;"4,548496";;"4,548496";"4,548496";;0;;"-0,04698";"0,04698";"0,09396"
191;4.548.496;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=4214 Ack=71096 Win=14526 Len=0;;;;"4,548496";;"4,548496";"4,595476";;"0,04698";;"0,046862";"0,000118";"-0,046744"
192;4.595.476;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=4214 Ack=71149 Win=14526 Len=0;;;;"4,595476";;"4,595476";"4,595594";;"0,000118";;"0,000103";"1,5E-05";"-8,8E-05"
193;4.595.594;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=4214 Ack=72609 Win=14549 Len=0;;;;"4,595594";;"4,595594";"4,595609";;"1,5E-05";;"-1,7E-05";"3,2E-05";"4,9E-05"
194;4.595.609;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=4214 Ack=72801 Win=14549 Len=0;;;;"4,595609";;"4,595609";"4,595641";;"3,2E-05";;"-0,118655";"0,118687";"0,237342"
195;4.595.641;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=4214 Ack=73362 Win=14549 Len=0;;;;"4,595641";;"4,595641";"4,714328";;"0,118687";;"0,063027";"0,05566";"-0,007367"
196;4.714.328;"172,31,18,98";"103,107,186,26";"TLSv1,2";722;Application Data;;;;"4,714328";;"4,714328";"4,769988";;"0,05566";;"0,033089";"0,022571";"-0,010518"
197;4.769.988;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"4,769988";;"4,769988";"4,792559";;"0,022571";;"0,022521";5E-05;"-0,022471"
198;4.792.559;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"4,792559";;"4,792559";"4,792609";;5E-05;;"-0,024017";"0,024067";"0,048084"
199;4.792.609;"172,31,18,98";"103,107,186,26";"TLSv1,2";901;Application Data;;;;"4,792609";;"4,792609";"4,816676";;"0,024067";;"-0,007816";"0,031883";"0,039699"
200;4.816.676;"103,107,186,26";"172,31,18,98";"TLSv1,2";180;"Application Data, Application Data";;;;"4,816676";;"4,816676";"4,848559";;"0,031883";;"0,031849";"3,4E-05";"-0,031815"
201;4.848.559;"103,107,186,26";"172,31,18,98";"TLSv1,2";200;"Application Data, Application Data";;;;"4,848559";;"4,848559";"4,848593";;"3,4E-05";;"-0,106126";"0,10616";"0,212286"
202;4.848.593;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=76529 Ack=4559 Win=63509 Len=0;;;;"4,848593";;"4,848593";"4,954753";;"0,10616";;"0,027834";"0,078326";"0,050492"
203;4.954.753;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=4559 Ack=74030 Win=14549 Len=0;;;;"4,954753";;"4,954753";"5,033079";;"0,078326";;"0,078326";0;"-0,078326"
204;5.033.079;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=4559 Ack=75490 Win=14572 Len=0;;;;"5,033079";;"5,033079";"5,033079";;0;;0;0;0
205;5.033.079;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=4559 Ack=75682 Win=14572 Len=0;;;;"5,033079";;"5,033079";"5,033079";;0;;"-0,065425";"0,065425";"0,13085"
206;5.033.079;"103,107,186,26";"172,31,18,98";TCP;54;51056  >  3389 [ACK] Seq=4559 Ack=76529 Win=14572 Len=0;;;;"5,033079";;"5,033079";"5,098504";;"0,065425";;"0,03532";"0,030105";"-0,005215"
207;5.098.504;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"5,098504";;"5,098504";"5,128609";;"0,030105";;"0,030074";"3,1E-05";"-0,030043"
208;5.128.609;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"5,128609";;"5,128609";"5,12864";;"3,1E-05";;"-0,031209";"0,03124";"0,062449"
209;5.128.640;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=76529 Ack=4705 Win=63363 Len=0;;;;"5,12864";;"5,12864";"5,15988";;"0,03124";;"-0,008399";"0,039639";"0,048038"
210;5.159.880;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"5,15988";;"5,15988";"5,199519";;"0,039639";;"0,039598";"4,1E-05";"-0,039557"
211;5.199.519;"103,107,186,26";"172,31,18,98";"TLSv1,2";127;Application Data;;;;"5,199519";;"5,199519";"5,19956";;"4,1E-05";;"-0,139843";"0,139884";"0,279727"
212;5.199.560;"172,31,18,98";"103,107,186,26";TCP;54;3389  >  51056 [ACK] Seq=76529 Ack=4851 Win=63217 Len=0;;;;"5,19956";;"5,19956";"5,339444";;"0,139884";;"0,139813";"7,1E-05";"-0,139742"
213;5.339.444;"172,31,18,98";"103,107,186,26";"TLSv1,2";696;Application Data;;;;"5,339444";;"5,339444";"5,339515";;"7,1E-05";;"-0,109178";"0,109249";"0,218427"
214;5.339.515;"172,31,18,98";"103,107,186,26";"TLSv1,2";105;Application Data;;;;"5,339515";;"5,339515";"5,448764";;"0,109249";;"0,109209";4E-05;"-0,109169"
215;5.448.764;"172,31,18,98";"103,107,186,26";"TLSv1,2";107;Application Data;;;;"5,448764";;"5,448764";"5,448804";;4E-05;;"-1,3E-05";"5,3E-05";"6,6E-05"
216;5.448.804;"172,31,18,98";"103,107,186,26";"TLSv1,2";1706;Application Data;;;;"5,448804";;"5,448804";"5,448857";;"5,3E-05";;"-0,130875";"0,130928";"0,261803"
